Action,FirstSelectBy,FirstValue,SecondSelectBy,SecondValue,Validation
WriteTo,id,adminusername,,admin,false
WriteTo,id,adminpassword,,admin,false
Click,id,login,,,false
Click,id,ADMIN,,,false
Click,xpath,/html/body/div[2]/div[1]/h3[2],,,false
Click,xpath,/html/body/div[2]/div[1]/div[2]/div/div[1]/p[1]/a,,,false
Click,xpath,/html/body/div[2]/div[3]/div[2]/div[4]/div[1]/div/table/tbody/tr/td[2]/a,,,false
WriteTo,id,username,,Coordrc4ver794,false
WriteTo,id,pswd,,contraseña1234,false
WriteTo,id,pass2,,contraseña1234,false
Click,id,iscoordinator,,,false
Click,id,isagent,,,false
Click,id,submit,,,false
Click,name,send_tabs,,,false
Click,id,g291,,,false
Click,name,submit-page-one,,,false
Click,id,c336,,,false
Click,name,submit-page-two,,,false
Click,name,submit,,,false
WriteTo,id,adminusername,,admin,true
WriteTo,id,adminpassword,,admin,true
Click,id,login,,,true
Click,id,ADMIN,,,true
Click,xpath,/html/body/div[2]/div[1]/h3[2],,,true
Click,xpath,/html/body/div[2]/div[1]/div[2]/div/div[1]/p[1]/a,,,true
WriteTo,xpath,/html/body/div[2]/div[3]/div[2]/div[4]/div[3]/input,,Coordrc4ver794,true
WaitTime,,2,,,true
Press Key,xpath,/html/body/div[2]/div[3]/div[2]/div[4]/div[3]/input,Enter,,true
WaitTime,,2,,,true
Click,cssSelector,img[src='imagenes/edit2.png'],,,true
ScreenShot,,,,,true
