Action,FirstSelectBy,FirstValue,SecondSelectBy,SecondValue,Validation
WriteTo,id,adminusername,,admin,false
WriteTo,id,adminpassword,,admin,false
Click,id,login,,,false
Click,id,ADMIN,,,false
Click,xpath,/html/body/div[2]/div[1]/h3[2],,,false
Click,xpath,/html/body/div[2]/div[1]/div[2]/div/div[1]/p[1]/a,,,false
Click,xpath,/html/body/div[2]/div[3]/div[2]/div[4]/div[1]/div/table/tbody/tr/td[2]/a,,,false
WriteTo,id,username,,Agente1rc1Nver794,false
WriteTo,id,pswd,,contraseña1234,false
WriteTo,id,pass2,,contraseña1234,false
Click,id,isagent,,,false
Click,id,submit,,,false
Click,name,send_tabs,,,false
Click,name,submit-page-one,,,false
Click,name,submit-page-two,,,false
Click,name,submit,,,false
NavigateTo,,https://pruebas7.dialcata.com/clienteweb/login.php,,,false
WriteTo,id,userName,,Agente1rc1Nver794,false
WriteTo,id,passwordBridge,,contraseña1234,false
Click,id,noPeer,,,false
Click,id,checklogin,,,false
Click,cssSelector,img[src='img/espresso.png?v=7.9.24'],,,false
SwitchTo,,fancybox-frame,,,false
WaitTime,,60,,,false
ScreenShot,,,,,false
Click,xpath,/html/body/div[1]/table/tbody/tr[3]/td[2]/input,,,false
NavigateTo,,https://pruebas7.dialcata.com/clienteweb/login.php,,,true
WriteTo,id,userName,,Agente1rc1Nver794,true
WriteTo,id,passwordBridge,,contraseña1234,true
Click,id,noPeer,,,true
Click,id,checklogin,,,true
Click,cssSelector,img[src='img/espresso.png?v=7.9.24'],,,true
SwitchTo,,fancybox-frame,,,true
WaitTime,,63,,,true
ScreenShot,,,,,true
Click,xpath,/html/body/div[1]/table/tbody/tr[3]/td[2]/input,,,true
