Action,FirstSelectBy,FirstValue,SecondSelectBy,SecondValue,Validation
WriteTo,id,adminusername,,admin,false
WriteTo,id,adminpassword,,admin,false
Click,id,login,,,false
Click,id,ADMIN,,,false
Click,xpath,/html/body/div[2]/div[3]/div[2]/div[1]/a[1]/img,,,false
Click,xpath,/html/body/div[2]/div[1]/h3[2],,,false
Click,xpath,/html/body/div[2]/div[1]/div[2]/div/div[1]/p[1]/a,,,false
Click,xpath,/html/body/div[2]/div[3]/div[2]/div[4]/div[1]/div/table/tbody/tr/td[2]/a,,,false
WriteTo,id,username,,Agente2rc1Nver794,false
WriteTo,id,pswd,,contraseña1234,false
WriteTo,id,pass2,,contraseña1234,false
Click,id,isagent,,,false
Click,id,submit,,,false
Click,name,send_tabs,,,false
Click,name,submit-page-one,,,false
Click,name,submit-page-two,,,false
Click,name,submit,,,false
Click,id,ADMIN,,,false
Click,xpath,/html/body/div[2]/div[3]/div[2]/div[3]/div[2]/table/tbody/tr[2]/td[4]/a/img,,,false
Click,xpath,/html/body/div[2]/div[3]/div[2]/div[2]/div/div[2]/form/table[2]/tbody/tr[6]/td[4]/input[1],,,false
Click,xpath,/html/body/div[2]/div[3]/div[2]/div[2]/div/div[2]/form/table[5]/tbody/tr/td/input,,,false
NavigateTo,,https://pruebas7.dialcata.com/clienteweb/login.php,,,false
WriteTo,id,userName,,Agente2rc1Nver794,false
WriteTo,id,passwordBridge,,contraseña1234,false
Click,id,noPeer,,,false
Click,id,checklogin,,,false
WaitTime,,3,,,false
ScreenShot,,,,,false
Click,xpath,/html/body/div[3]/div[16]/a/img,,,false
NavigateTo,,https://pruebas7.dialcata.com/clienteweb/login.php,,,true
WriteTo,id,userName,,Agente2rc1Nver794,true
WriteTo,id,passwordBridge,,contraseña1234,true
Click,id,noPeer,,,true
Click,id,checklogin,,,true
WaitTime,,3,,,true
ScreenShot,,,,,true
Click,xpath,/html/body/div[3]/div[16]/a/img,,,true
