Action,FirstSelectBy,FirstValue,SecondSelectBy,SecondValue,Validation
WriteTo,id,adminusername,,admin,false
WriteTo,id,adminpassword,,admin,false
Click,id,login,,,false
Click,id,ADMIN,,,false
Click,xpath,/html/body/div[2]/div[3]/div[2]/div[1]/a[1]/img,,,false
Click,xpath,/html/body/div[2]/div[3]/div[2]/div[3]/div[2]/table/tbody/tr[3]/td[1]/a/img,,,false
WriteTo,id,new_groupname,,AGENTE3RCNver794,false
Click,cssSelector,img[src='imagenes/add2.png'],,,false
ReadFrom,cssSelector,tbody :nth-last-child(3) ~ tr :first-child,,${groupID},false
WriteTo,id,adminusername,,admin,true
WriteTo,id,adminpassword,,admin,true
Click,id,login,,,true
