Action,FirstSelectBy,FirstValue,SecondSelectBy,SecondValue,Validation
WriteTo,id,adminusername,id,admin,false
WriteTo,id,adminpassword,id,admin,false
Click,id,login,id,,false
Click,id,ADMIN,id,,false
Click,xpath,/html/body/div[2]/div[1]/h3[2],xpath,,false
Click,xpath,/html/body/div[2]/div[1]/div[2]/div/div[2]/p/a,xpath,,false
WriteTo,id,new_groupname,id,GruporcNver7816126322,false
Click,cssSelector,img[src="imagenes/add2.png"],cssSelector,,false
Click,xpath,//*[@id="users-226"],xpath,,false
SwitchTo,id,fancybox-frame,id,,false
DragAndDrop,xpath,/html/body/form/div/div[1]/div/div[1]/div/ul/li[4],xpath,//*[@id="rightList"],false
WriteTo,id,adminusername,id,admin,true
WriteTo,id,adminpassword,id,admin,true
Click,id,login,id,,true
Click,id,ADMIN,id,,true
Click,xpath,/html/body/div[2]/div[1]/h3[2],xpath,,true
Click,xpath,/html/body/div[2]/div[1]/div[2]/div/div[2]/p/a,xpath,,true
